1	2	0	56.6456	200.695	3152	0.375239	3126	3.03742	2990	0	97	189.76	96	95	10.9324	96	89	3175	3152	196.872	
2	3	0	56.2615	202.235	3583	0.395759	3528	3.01214	3374	0	106	189.309	122	104	12.9219	122	134	3630	3583	198.438	
3	4	0	50.9854	203.641	3394	0.422541	3243	2.99435	3136	0	101	186.596	119	99	17.0386	119	204	3459	3394	199.829	
4	5	1	25.123	30.1394	568	0.059762	567	0.465991	551	18	19	29.1251	17	17	1.01405	16	3	570	568	29.5548	
5	6	0	56.5655	204.638	3635	0.402992	3496	3.00913	3384	0	111	189.386	114	109	15.2458	114	183	3681	3635	200.825	
6	7	0	24.551	200.161	3900	0.378637	3757	2.86503	3635	0	115	185.464	117	113	14.6923	117	218	3970	3900	196.56	
7	8	0	34.6477	201.289	3984	0.381503	3927	2.95656	3751	0	120	188.81	125	118	12.4745	125	147	4023	3984	197.577	
8	9	0	41.4786	200.387	3944	0.368139	3887	2.9523	3750	0	120	190.176	126	118	10.2081	126	88	3964	3944	196.698	
9	10	0	42.1873	200.305	3908	0.381165	3702	2.84231	3555	0	120	181.178	124	118	19.1209	124	300	3979	3908	196.729	
10	11	0	71.3769	200.639	3914	0.358968	3834	2.91054	3710	0	121	189.942	124	119	10.694	124	97	3931	3914	197.001	
11	12	0	41.9832	202.418	3958	0.376088	3899	3.00887	3740	0	123	190.091	136	121	12.3236	136	131	4007	3958	198.662	
12	13	0	61.5889	203.576	3999	0.371615	3914	2.9853	3771	0	125	191.751	128	123	11.8215	125	115	4011	3999	199.849	
13	14	0	38.7605	202.492	3988	0.380927	3888	2.94435	3733	0	119	189.222	131	117	13.266	131	142	4006	3988	198.796	
14	15	0	53.1764	200.001	3942	0.396468	3829	2.90195	3668	0	109	185.815	132	107	14.1823	132	159	3959	3942	196.341	
15	16	0	38.2227	205.419	4009	0.38248	3915	2.98241	3765	0	129	192.622	132	127	12.7933	132	131	4028	4009	201.681	
16	17	1	52.6019	58.8831	1150	0.104804	1136	0.898965	1100	34	39	56.2316	37	37	2.65089	36	19	1155	1150	57.7722	
17	18	1	64.8393	107.459	2112	0.191897	2101	1.63491	2036	37	67	103.44	70	65	4.0182	69	12	2117	2112	105.434	
18	19	0	39.2955	202.514	3971	0.383778	3891	2.97682	3730	0	128	189.219	130	126	13.2901	130	164	4024	3971	198.784	
19	20	1	33.7793	21.5931	420	0.03506	420	0.317357	406	15	16	20.8302	14	14	0.76272	13	1	420	420	21.2011	
